Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
37,Jason Wood,2002-03-08,Florida Marlins,PIT,32,-0.4,2,40,68,11,15,2,9,0,5,.221,.274,.353,.627,,,,,,,,,,,,
38,Andres Galarraga,2002-03-07,Montreal Expos,SFG,41,1.2,16,2036,7522,1128,2172,377,1341,125,534,.289,.347,.503,.850,,,,,,,,,,,,
39,Alan Mills,2002-03-07,Montreal Expos,BAL,35,0.2,12,474,5,0,0,0,1,0,1,.000,.167,.000,.167,39,32,4.12,1.528,474,5,15,636.0,577,83,395,456
40,Josias Manzanillo,2002-03-05,Pittsburgh Pirates,PIT,34,3.0,8,220,11,0,1,0,0,0,0,.091,.091,.091,.182,10,10,4.12,1.329,219,1,5,286.0,251,28,129,257
41,Curtis Pride,2002-03-05,Pittsburgh Pirates,MON,33,-0.1,7,349,706,118,181,18,76,28,79,.256,.335,.414,.749,,,,,,,,,,,,
42,Tim Harikkala,2002-03-04,Milwaukee Brewers,MIL,30,-0.1,3,9,0,0,0,0,0,0,0,,,,,1,2,9.15,1.694,9,1,0,20.2,26,2,9,9
43,Rey Sanchez,2002-02-27,Boston Red Sox,ATL,34,9.3,11,1167,3821,440,1047,12,300,51,182,.274,.311,.337,.648,,,,,,,,,,,,
44,Don Wengert,2002-02-27,Boston Red Sox,PIT,32,-2.2,7,162,19,0,0,0,0,0,2,.000,.095,.000,.095,14,32,6.01,1.655,160,48,3,438.2,569,73,157,226
45,Pete Harnisch,2002-02-25,Colorado Rockies,CIN,35,4.1,14,326,513,40,66,2,29,0,12,.129,.150,.177,.327,111,103,3.89,1.296,321,318,0,1959.0,1822,223,716,1368
46,Osvaldo Fernandez,2002-02-23,Montreal Expos,CIN,35,0.8,4,80,115,1,8,0,2,0,4,.070,.108,.070,.178,19,26,4.93,1.486,76,67,0,387.0,439,43,136,208
47,Mark Smith,2002-02-23,Florida Marlins,MON,32,-0.1,7,381,896,117,218,29,120,15,93,.243,.319,.400,.719,,,,,,,,,,,,
48,Hipolito Pichardo,2002-02-22,Houston Astros,BOS,32,1.1,9,349,5,0,0,0,0,0,0,.000,.000,.000,.000,50,43,4.41,1.456,349,68,20,769.1,835,54,285,394
49,Tim Crabtree,2002-02-21,Los Angeles Dodgers,TEX,32,1.8,7,342,1,0,0,0,0,0,0,.000,.000,.000,.000,21,22,4.20,1.482,342,0,9,394.0,434,29,150,288
50,Jose Mercedes,2002-02-21,Cleveland Indians,BAL,31,2.3,7,140,19,0,1,0,0,0,0,.053,.100,.053,.153,33,39,4.82,1.440,140,79,0,575.2,611,75,218,307
51,Bill Simas,2002-02-20,Detroit Tigers,CHW,30,2.9,6,,,,,,,,,,,,,,,,,,,,,,,,
52,Ed Sprague,2002-02-20,Texas Rangers,SEA,34,0.7,11,1203,4095,506,1010,152,558,6,358,.247,.318,.419,.737,,,,,,,,,,,,
53,Ed Vosberg,2002-02-19,Montreal Expos,PHI,40,-0.0,9,262,2,0,0,0,0,0,0,.000,.000,.000,.000,10,15,4.26,1.528,262,3,13,232.1,247,21,108,179
54,Tim Raines,2002-02-18,Florida Marlins,BAL,42,0.9,22,2404,8783,1562,2588,169,973,808,1308,.295,.386,.427,.812,,,,,,,,,,,,
55,Mandy Romero,2002-02-18,Pittsburgh Pirates,OAK,34,,2,39,70,10,13,2,5,1,6,.186,.250,.286,.536,,,,,,,,,,,,
56,Sandy Martinez,2002-02-17,Montreal Expos,MON,31,-0.6,7,214,558,39,130,6,51,1,37,.233,.286,.337,.623,,,,,,,,,,,,
57,Ron Villone,2002-02-16,Pittsburgh Pirates,HOU,32,-0.3,7,274,110,4,11,0,4,0,1,.100,.108,.118,.226,29,31,4.91,1.557,274,57,5,566.0,560,72,321,443
58,David Newhan,2002-02-15,Los Angeles Dodgers,PHI,28,-0.3,3,63,86,17,14,3,9,2,10,.163,.247,.302,.550,,,,,,,,,,,,
59,Mark Johnson,2002-02-14,Milwaukee Brewers,DET,27,-0.4,1,,,,,,,,,,,,,,,,,,,,,,,,
60,Pedro Swann,2002-02-14,Toronto Blue Jays,ATL,31,-0.1,1,4,2,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,
61,Justin Thompson,2002-02-14,Texas Rangers,TEX,29,1.5,4,101,14,1,1,0,0,0,0,.071,.071,.071,.143,36,43,3.98,1.335,101,101,0,647.0,629,71,235,427
