Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Chris Peters,2001-06-06,Cincinnati Reds,PIT,29,3.5,5,123,90,10,21,0,7,2,3,.233,.258,.244,.503,17,21,4.57,1.477,123,43,2,348.2,373,47,142,210
2,Joe Slusarski,2001-05-12,Houston Astros,HOU,34,1.7,6,106,9,1,1,0,1,0,0,.111,.111,.111,.222,13,20,4.97,1.512,106,34,3,289.2,317,41,121,162
3,Jesse Orosco,2001-04-24,Los Angeles Dodgers,STL,44,1.1,21,1096,59,2,10,0,4,0,7,.169,.250,.169,.419,84,75,3.03,1.243,1096,4,141,1218.1,973,102,541,1107
4,Mark Lewis,2001-04-16,Cleveland Indians,BAL,31,-1.9,10,896,2782,319,735,48,306,29,196,.264,.313,.381,.694,,,,,,,,,,,,
5,Bernard Gilkey,2001-04-12,Atlanta Braves,BOS,34,-0.8,11,1170,3955,598,1086,116,532,115,455,.275,.352,.435,.787,,,,,,,,,,,,
6,Ramon Martinez,2001-04-11,Pittsburgh Pirates,BOS,33,2.7,13,301,591,33,91,1,33,0,7,.154,.165,.183,.347,135,86,3.62,1.305,297,293,0,1880.0,1675,166,779,1418
7,Willie Blair,2001-04-10,Cleveland Indians,DET,35,0.2,11,409,146,6,11,0,5,0,6,.075,.112,.082,.194,59,82,4.93,1.443,409,135,4,1250.0,1400,167,404,744
8,John Mabry,2001-04-09,Florida Marlins,SDP,30,-2.7,7,727,2207,250,608,49,265,5,167,.275,.328,.400,.728,0,0,27.00,6.000,1,0,0,0.2,3,0,1,0
9,Billy Taylor,2001-04-03,Pittsburgh Pirates,TBD,39,0.7,6,316,0,0,0,0,0,0,0,,,,,16,28,4.21,1.379,316,0,100,322.2,312,26,133,304
10,Willie Banks,2001-04-02,Arizona Diamondbacks,NYM,32,-0.2,7,150,68,5,12,0,1,0,2,.176,.222,.206,.428,31,38,4.93,1.568,147,84,1,560.2,595,60,284,392
11,Hector Carrasco,2001-03-30,Minnesota Twins,BOS,31,2.8,7,402,18,0,1,0,0,0,0,.056,.056,.056,.111,24,33,4.10,1.476,402,1,14,493.1,479,32,249,385
12,Julio Santana,2001-03-30,San Francisco Giants,MON,28,0.5,4,123,14,0,2,0,1,0,0,.143,.143,.143,.286,11,21,5.71,1.622,123,42,0,371.2,427,55,176,217
13,Trace Coquillette,2001-03-29,Cleveland Indians,MON,27,-0.3,2,51,108,8,25,1,12,1,11,.231,.306,.324,.630,,,,,,,,,,,,
14,Derrin Ebert,2001-03-28,Boston Red Sox,ATL,24,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,
15,Scott Servais,2001-03-28,Houston Astros,SFG,34,-1.1,10,809,2477,242,605,63,319,3,181,.244,.305,.375,.680,,,,,,,,,,,,
16,Chris Petersen,2001-03-23,Pittsburgh Pirates,ATL,30,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
17,Calvin Maduro,2001-03-21,Baltimore Orioles,BAL,26,-0.8,3,35,24,1,1,0,0,0,0,.042,.042,.042,.083,3,8,7.22,1.687,34,17,0,109.2,125,21,60,60
18,Rickey Henderson HOF,2001-03-19,San Diego Padres,SEA,42,4.8,22,2856,10331,2178,2914,282,1052,1370,2060,.282,.404,.423,.827,,,,,,,,,,,,
19,Sean Bergman,2001-03-17,Colorado Rockies,FLA,31,0.6,8,198,133,10,15,3,11,0,0,.113,.113,.211,.323,39,47,5.28,1.578,196,117,0,750.1,912,99,272,455
20,Benito Santiago,2001-03-17,San Francisco Giants,CIN,36,0.6,15,1556,5397,591,1406,178,722,81,343,.261,.305,.415,.721,,,,,,,,,,,,
21,Mike Mohler,2001-03-08,Arizona Diamondbacks,OAK,32,-0.5,8,336,4,0,1,0,0,0,0,.250,.250,.250,.500,14,27,4.91,1.579,334,20,10,403.1,414,42,223,274
22,Matt Beech,2001-02-28,Texas Rangers,PHI,29,-0.9,4,,,,,,,,,,,,,,,,,,,,,,,,
23,Rudy Seanez,2001-02-25,San Diego Padres,ATL,32,1.6,9,204,4,1,0,0,0,0,1,.000,.200,.000,.200,16,11,4.59,1.440,204,0,10,209.2,191,20,111,197
24,Damon Hollins,2001-02-23,Minnesota Twins,MIL,27,-0.2,1,8,15,1,3,0,2,0,0,.200,.200,.200,.400,,,,,,,,,,,,
25,Jeff Reboulet,2001-02-20,Los Angeles Dodgers,KCR,37,1.6,9,793,1706,235,406,14,153,20,226,.238,.330,.307,.637,,,,,,,,,,,,
26,Tim Byrdak,2001-02-19,Cleveland Indians,KCR,27,-1.3,3,48,2,1,1,0,0,0,0,.500,.500,1.000,1.500,0,4,8.27,2.204,48,0,1,32.2,48,9,24,26
27,Deion Sanders,2001-02-19,Cincinnati Reds,CIN,33,,8,609,2048,302,545,38,164,183,155,.266,.322,.398,.720,,,,,,,,,,,,
28,Manny Alexander,2001-02-18,Seattle Mariners,BOS,30,-1.5,8,541,1198,161,280,15,108,37,81,.234,.285,.328,.613,,,,,,,,,,,,
