Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
29,Bobby Jones,2001-02-15,San Diego Padres,NYM,31,3.1,8,193,352,22,46,1,14,0,12,.131,.162,.156,.318,74,56,4.13,1.323,193,190,0,1215.2,1255,137,353,714
30,Henry Rodriguez,2001-02-15,New York Yankees,FLA,33,3.7,9,925,3003,388,783,160,520,10,272,.261,.322,.485,.807,,,,,,,,,,,,
31,Mike Caruso,2001-02-13,Tampa Bay Devil Rays,SEA,24,1.1,2,269,1052,141,292,7,90,34,34,.278,.305,.343,.649,,,,,,,,,,,,
32,Andrew Lorraine,2001-02-13,Florida Marlins,CLE,28,-0.0,6,55,23,3,3,0,0,0,2,.130,.200,.174,.374,6,10,6.18,1.675,54,25,0,163.0,196,24,77,103
33,Mike Oquist,2001-02-12,Minnesota Twins,DET,33,0.9,7,,,,,,,,,,,,,,,,,,,,,,,,
34,Matt Walbeck,2001-02-09,Cincinnati Reds,ANA,31,-0.5,8,595,1885,200,447,27,199,13,127,.237,.287,.323,.610,,,,,,,,,,,,
35,Kirk Bullinger,2001-02-08,Cleveland Indians,PHI,31,-0.4,3,15,1,0,0,0,0,0,0,.000,.000,.000,.000,1,0,7.30,1.784,15,0,0,12.1,20,1,2,6
36,Dante Powell,2001-02-07,San Francisco Giants,STL,27,-0.2,3,57,68,14,18,2,5,3,9,.265,.351,.412,.762,,,,,,,,,,,,
37,Jeff Tabaka,2001-02-06,St. Louis Cardinals,COL,37,0.9,5,131,4,1,1,0,0,0,1,.250,.400,.500,.900,6,5,4.23,1.424,131,0,2,144.2,125,15,81,116
38,Jed Hansen,2001-02-04,Kansas City Royals,CIN,28,-1.0,3,,,,,,,,,,,,,,,,,,,,,,,,
39,Matt Franco,2001-02-02,New York Mets,NYM,31,-0.4,6,468,638,74,163,13,72,1,86,.255,.344,.359,.703,,,,,,,,,,,,
40,Jose Parra,2001-02-02,Pittsburgh Pirates,PIT,28,-0.0,3,53,0,0,0,0,0,0,2,,1.000,,,6,11,6.62,1.692,53,19,0,153.2,198,31,62,95
41,Jamie Arnold,2001-02-01,San Francisco Giants,CHC,27,-1.6,2,50,19,1,3,0,1,0,0,.158,.200,.211,.411,2,7,5.73,1.634,50,7,2,108.1,119,7,58,42
42,Rusty Meacham,2001-01-31,Tampa Bay Devil Rays,HOU,33,-0.1,7,194,0,0,0,0,0,0,0,,,,,22,14,4.30,1.381,194,9,9,307.2,342,36,83,185
43,Paul Byrd,2001-01-29,Philadelphia Phillies,PHI,30,2.0,6,144,103,9,15,0,6,0,7,.146,.214,.146,.360,29,28,4.62,1.368,144,59,0,461.1,452,71,179,292
44,Todd Erdos,2001-01-29,Boston Red Sox,SDP,27,-0.2,4,53,3,0,0,0,0,0,0,.000,.000,.000,.000,2,0,5.70,1.642,53,0,2,77.1,90,10,37,51
45,Adam Melhuse,2001-01-29,Colorado Rockies,COL,29,-0.2,1,24,24,3,4,0,4,0,3,.167,.259,.250,.509,,,,,,,,,,,,
46,Rick Wilkins,2001-01-29,San Diego Padres,STL,34,-0.1,10,708,2092,277,511,80,267,9,276,.244,.333,.411,.744,,,,,,,,,,,,
47,Marc Valdes,2001-01-27,Atlanta Braves,HOU,29,-1.1,5,135,43,1,4,0,1,0,2,.093,.152,.093,.245,11,15,4.88,1.605,135,22,4,243.2,274,17,117,132
48,Matt Whiteside,2001-01-27,Atlanta Braves,SDP,33,-1.1,9,271,2,0,0,0,0,0,0,.000,.000,.000,.000,18,14,5.01,1.479,271,1,9,386.0,426,44,145,244
49,Luis Alicea,2001-01-26,Kansas City Royals,TEX,35,3.0,11,1134,3347,479,871,42,367,71,445,.260,.350,.375,.726,,,,,,,,,,,,
50,Steve Avery,2001-01-26,Atlanta Braves,ATL,31,-0.2,10,287,436,34,75,4,32,1,12,.172,.192,.250,.442,94,83,4.17,1.347,278,261,0,1538.2,1510,143,562,974
51,Butch Huskey,2001-01-26,Cleveland Indians,COL,29,0.8,7,642,2078,259,555,86,336,21,164,.267,.318,.442,.760,,,,,,,,,,,,
52,Alex Rodriguez,2001-01-26,Texas Rangers,SEA,25,23.6,7,790,3126,627,966,189,595,133,310,.309,.374,.561,.934,,,,,,,,,,,,
53,Wally Joyner,2001-01-25,Anaheim Angels,ATL,39,2.7,15,1980,6979,959,2024,201,1092,59,820,.290,.364,.441,.805,,,,,,,,,,,,
54,Stan Spencer,2001-01-24,San Diego Padres,SDP,31,-0.5,3,24,31,0,5,0,1,0,0,.161,.188,.226,.413,3,9,5.54,1.374,23,21,0,118.2,129,23,34,107
55,Don Wengert,2001-01-24,Pittsburgh Pirates,ATL,31,-1.4,6,158,16,0,0,0,0,0,1,.000,.059,.000,.059,14,30,5.77,1.625,156,44,3,422.2,536,71,151,222
56,Raul Ibanez,2001-01-22,Kansas City Royals,SEA,29,-0.2,5,231,478,59,115,14,58,7,36,.241,.295,.383,.678,,,,,,,,,,,,
57,Trever Miller,2001-01-22,Boston Red Sox,LAD,28,-0.2,4,105,6,1,1,0,0,0,0,.167,.167,.333,.500,5,6,5.43,1.765,105,5,2,136.0,170,16,70,86
58,Pedro Swann,2001-01-22,Atlanta Braves,ATL,30,-0.1,1,4,2,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,
59,Scott Radinsky,2001-01-20,Cleveland Indians,STL,33,1.7,10,555,5,0,0,0,0,0,0,.000,.000,.000,.000,42,25,3.34,1.382,555,0,52,479.2,457,31,206,355
60,Craig Grebeck,2001-01-19,Boston Red Sox,TOR,36,2.3,11,729,1947,238,516,19,185,4,226,.265,.345,.362,.707,,,,,,,,,,,,
61,Reggie Harris,2001-01-19,Pittsburgh Pirates,MIL,32,0.2,10,,,,,,,,,,,,,,,,,,,,,,,,
62,Heath Murray,2001-01-18,Detroit Tigers,LAD,28,-0.1,2,39,19,1,2,0,0,0,1,.105,.150,.105,.255,1,6,6.16,1.884,39,11,0,83.1,110,10,47,41
63,Tim Bogar,2001-01-17,Los Angeles Dodgers,HOU,34,-1.7,8,689,1501,176,340,22,159,13,141,.227,.297,.327,.624,0,0,4.50,1.500,2,0,0,2.0,2,1,1,1
64,Jeremy Powell,2001-01-17,San Diego Padres,MON,25,-0.8,3,35,41,3,7,0,1,0,3,.171,.227,.220,.447,5,16,5.84,1.615,35,27,0,148.0,175,25,64,77
65,Jose Canseco,2001-01-16,Anaheim Angels,NYY,36,5.3,16,1811,6801,1140,1811,446,1358,198,861,.266,.352,.516,.868,,,,,,,,,,,,
66,Jeff Reed,2001-01-16,Chicago Cubs,CHC,38,2.0,17,1234,3101,311,774,61,323,7,391,.250,.334,.361,.695,,,,,,,,,,,,
67,Doug Linton,2001-01-15,Los Angeles Dodgers,COL,36,-0.1,6,105,7,0,0,0,0,0,0,.000,.000,.000,.000,17,20,5.86,1.600,105,35,0,296.1,353,48,121,199
68,Rick DeHart,2001-01-13,Los Angeles Dodgers,LAD,31,-1.0,3,52,2,0,0,0,0,0,0,.000,.000,.000,.000,2,1,5.64,1.746,52,0,1,59.0,73,12,30,44
69,Mike Porzio,2001-01-13,Chicago White Sox,COL,28,0.0,1,16,0,0,0,0,0,0,0,,,,,0,0,8.59,2.114,16,0,0,14.2,21,5,10,10
70,Jeff Brantley,2001-01-12,Texas Rangers,PHI,37,-0.7,13,597,68,5,8,0,5,0,2,.118,.143,.132,.275,43,45,3.35,1.294,597,18,172,838.1,728,100,357,717
71,Roberto Kelly,2001-01-12,Colorado Rockies,NYY,36,1.8,14,1337,4797,687,1390,124,585,235,317,.290,.337,.430,.767,,,,,,,,,,,,
72,Israel Alcantara,2001-01-11,Boston Red Sox,BOS,28,0.3,1,21,45,9,13,4,7,0,3,.289,.333,.578,.911,,,,,,,,,,,,
73,Brant Brown,2001-01-11,Milwaukee Brewers,CHC,30,-1.0,5,424,1056,142,261,45,146,15,74,.247,.301,.445,.746,,,,,,,,,,,,
74,David Cone,2001-01-11,Boston Red Sox,NYY,38,8.1,15,421,407,28,63,0,22,0,16,.155,.192,.177,.369,184,116,3.40,1.240,420,390,1,2745.0,2336,237,1067,2540
75,Eric Davis,2001-01-11,San Francisco Giants,STL,39,4.7,16,1552,5165,921,1398,278,912,348,727,.271,.361,.486,.847,,,,,,,,,,,,
76,Tom Evans,2001-01-11,Detroit Tigers,TEX,26,-0.3,3,42,102,17,26,1,7,0,13,.255,.347,.343,.691,,,,,,,,,,,,
77,Pat Mahomes,2001-01-11,Texas Rangers,NYM,30,0.6,8,230,33,4,9,0,4,0,1,.273,.294,.394,.688,34,31,5.55,1.602,227,56,5,546.2,568,94,308,355
78,Reggie Sanders,2001-01-11,Arizona Diamondbacks,ATL,33,6.5,10,1041,3703,634,996,162,540,215,443,.269,.351,.476,.827,,,,,,,,,,,,
79,Kevin Sefcik,2001-01-11,Colorado Rockies,PHI,30,1.7,6,424,770,92,212,6,56,21,80,.275,.351,.371,.723,,,,,,,,,,,,
80,Ron Coomer,2001-01-10,Chicago Cubs,MIN,34,0.3,6,676,2397,283,667,77,364,13,132,.278,.315,.431,.746,,,,,,,,,,,,
81,Jose Fernandez,2001-01-10,Anaheim Angels,MIL,26,-0.3,1,8,24,0,5,0,1,0,1,.208,.240,.292,.532,,,,,,,,,,,,
82,Gabe Molina,2001-01-10,Florida Marlins,ATL,26,-0.8,2,31,0,0,0,0,0,0,0,,,,,1,2,7.58,2.000,31,0,0,38.0,50,7,26,23
83,Kelly Stinnett,2001-01-10,Cincinnati Reds,ARI,31,2.6,7,424,1206,139,281,39,140,6,123,.233,.318,.380,.697,,,,,,,,,,,,
84,Jeff Wallace,2001-01-10,Tampa Bay Devil Rays,CIN,25,0.0,3,90,1,0,0,0,0,0,1,.000,.500,.000,.500,3,0,4.67,1.800,90,0,0,86.2,76,7,80,82
85,Jason Wood,2001-01-10,Pittsburgh Pirates,PIT,31,-0.2,2,40,68,11,15,2,9,0,5,.221,.274,.353,.627,,,,,,,,,,,,
86,Todd Dunwoody,2001-01-09,Chicago Cubs,KCR,26,-1.4,4,260,848,92,200,10,78,13,48,.236,.280,.351,.632,,,,,,,,,,,,
87,Juan Gonzalez,2001-01-09,Cleveland Indians,DET,31,10.7,12,1363,5292,860,1554,362,1142,22,376,.294,.343,.566,.908,,,,,,,,,,,,
88,Wilton Guerrero,2001-01-09,Cincinnati Reds,MON,26,-0.9,5,491,1364,162,387,10,113,29,54,.284,.311,.379,.690,,,,,,,,,,,,
89,Thomas Howard,2001-01-09,Pittsburgh Pirates,STL,36,-0.9,11,1015,2483,297,655,44,264,66,165,.264,.311,.384,.695,,,,,,,,,,,,
90,Jason Phillips,2001-01-09,Pittsburgh Pirates,PIT,27,-0.4,1,6,0,0,0,0,0,0,0,,,,,0,0,11.57,2.429,6,0,0,7.0,11,2,6,7
91,John Wehner,2001-01-09,Pittsburgh Pirates,PIT,34,-0.9,10,418,753,96,190,4,52,13,63,.252,.310,.321,.631,,,,,,,,,,,,
92,Kurt Abbott,2001-01-08,Atlanta Braves,NYM,32,-1.7,8,696,2035,273,521,62,242,21,133,.256,.305,.424,.729,,,,,,,,,,,,
93,Harold Baines,2001-01-08,Chicago White Sox,CHW,42,3.2,21,2798,9824,1296,2855,384,1622,34,1054,.291,.357,.467,.824,,,,,,,,,,,,
94,Mike Gulan,2001-01-08,Florida Marlins,FLA,30,,1,5,9,2,0,0,1,0,1,.000,.100,.000,.100,,,,,,,,,,,,
95,Mendy Lopez,2001-01-08,Houston Astros,FLA,27,0.2,3,85,229,20,58,1,18,5,13,.253,.298,.336,.634,,,,,,,,,,,,
96,Jason McDonald,2001-01-08,Milwaukee Brewers,TEX,29,2.0,4,286,692,113,167,11,51,33,105,.241,.347,.342,.689,,,,,,,,,,,,
97,Walt McKeel,2001-01-08,Colorado Rockies,COL,29,,2,6,3,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,
98,Orlando Merced,2001-01-08,Houston Astros,HOU,34,0.5,10,1051,3398,490,951,88,500,45,432,.280,.361,.427,.788,,,,,,,,,,,,
99,Scott Pose,2001-01-08,Houston Astros,KCR,34,-0.6,4,202,313,52,75,0,21,9,38,.240,.321,.268,.589,,,,,,,,,,,,
100,Brad Rigby,2001-01-08,Houston Astros,MON,28,-0.6,3,73,4,0,0,0,0,0,0,.000,.000,.000,.000,5,13,5.50,1.611,73,14,2,175.0,221,31,61,75
101,Shane Andrews,2001-01-05,St. Louis Cardinals,CHC,29,1.2,6,562,1691,194,374,86,263,7,190,.221,.299,.423,.722,,,,,,,,,,,,
102,Mark Guthrie,2001-01-05,Oakland Athletics,TOR,35,0.5,12,579,11,0,1,0,0,0,0,.091,.091,.091,.182,38,46,4.18,1.418,578,43,12,835.2,865,85,320,658
103,Kevin Jarvis,2001-01-05,San Diego Padres,COL,31,-0.3,6,110,96,8,13,0,2,0,2,.135,.170,.167,.337,15,23,6.43,1.638,109,59,1,414.0,530,83,148,225
104,Kevin Jordan,2001-01-05,Philadelphia Phillies,PHI,31,-1.2,6,492,1296,129,336,22,162,2,59,.259,.295,.368,.663,,,,,,,,,,,,
105,Dave Magadan,2001-01-05,San Diego Padres,SDP,38,2.0,15,1491,4031,504,1165,41,483,11,706,.289,.392,.378,.771,,,,,,,,,,,,
106,Kent Mercker,2001-01-05,Boston Red Sox,ANA,33,0.3,12,372,244,12,28,1,18,0,11,.115,.152,.164,.316,63,61,4.31,1.450,366,150,19,1069.1,1062,117,488,713
107,Greg Norton,2001-01-05,Colorado Rockies,CHW,28,-1.7,5,337,993,134,245,33,118,8,127,.247,.334,.408,.742,,,,,,,,,,,,
108,Steve Ontiveros,2001-01-05,New York Mets,BOS,40,-0.2,10,211,12,3,1,0,3,0,1,.083,.154,.167,.321,34,31,3.67,1.253,207,73,19,661.2,622,60,207,382
109,Jorge Velandia,2001-01-05,New York Mets,NYM,26,-0.4,4,118,112,6,16,0,4,2,5,.143,.193,.179,.372,,,,,,,,,,,,
110,Bryan Ward,2001-01-05,Boston Red Sox,ANA,29,0.0,3,95,0,0,0,0,0,0,1,,1.000,,,1,3,5.09,1.527,95,0,1,93.2,115,17,28,66
111,Giovanni Carrara,2001-01-04,Los Angeles Dodgers,COL,33,-0.6,4,41,10,1,0,0,0,0,0,.000,.000,.000,.000,3,7,8.24,1.994,41,14,0,110.1,153,30,67,70
112,Shawn Gilbert,2001-01-04,Los Angeles Dodgers,LAD,36,-0.2,3,51,47,9,7,2,4,2,3,.149,.200,.298,.498,,,,,,,,,,,,
113,Chris Turner,2001-01-04,Philadelphia Phillies,NYY,32,-0.5,8,158,379,49,90,4,36,5,36,.237,.307,.322,.629,,,,,,,,,,,,
114,Ismael Valdez,2001-01-04,Anaheim Angels,LAD,27,5.3,7,198,322,14,39,1,11,3,10,.121,.148,.146,.294,63,61,3.59,1.248,197,170,1,1132.0,1087,126,326,830
115,Brian Williams,2001-01-04,Boston Red Sox,CLE,32,-0.6,9,260,85,5,15,0,9,0,0,.176,.174,.224,.398,26,38,5.37,1.658,256,59,6,595.1,655,62,332,397
116,Kent Bottenfield,2001-01-03,Houston Astros,PHI,32,5.0,8,279,177,13,29,0,10,1,2,.164,.178,.181,.359,44,44,4.43,1.463,279,107,9,859.2,889,107,369,527
117,Jim Mann,2001-01-03,Houston Astros,NYM,26,-0.1,1,2,0,0,0,0,0,0,0,,,,,0,0,10.13,2.625,2,0,0,2.2,6,1,1,0
118,Mark Sweeney,2001-01-03,Milwaukee Brewers,MIL,31,0.1,6,480,707,85,184,12,86,7,105,.260,.356,.369,.725,,,,,,,,,,,,
119,Cory Bailey,2001-01-02,Kansas City Royals,PIT,30,0.0,6,82,2,2,1,0,0,0,2,.500,.750,.500,1.250,5,5,4.23,1.601,82,0,0,93.2,98,5,52,65
120,Charlie Hayes,2001-01-02,Houston Astros,MIL,36,1.0,13,1516,5212,576,1369,144,736,47,413,.263,.317,.399,.716,,,,,,,,,,,,
121,Chris Nichting,2001-01-01,Cincinnati Reds,CLE,35,-0.1,2,20,0,0,0,0,0,0,0,,,,,0,0,7.02,2.010,20,0,0,33.1,49,1,18,13
122,Tim Spehr,2001-01-01,Cincinnati Reds,BOS,34,0.6,9,,,,,,,,,,,,,,,,,,,,,,,,
123,Mark Johnson,2000-12-28,New York Mets,NYM,33,-0.5,5,315,819,120,192,31,110,12,129,.234,.342,.399,.741,,,,,,,,,,,,
124,Joe Roa,2000-12-28,Florida Marlins,CLE,29,,3,30,15,0,2,0,0,0,1,.133,.188,.133,.321,2,6,5.40,1.691,30,4,0,73.1,99,9,25,34
125,Mike Romano,2000-12-28,Atlanta Braves,MIN,29,-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,
126,Marty Malloy,2000-12-27,Cincinnati Reds,DET,29,-0.1,1,11,28,3,5,1,1,0,2,.179,.233,.321,.555,,,,,,,,,,,,
127,Jeff D'Amico,2000-12-24,Kansas City Royals,KCR,26,-0.3,1,7,0,0,0,0,0,0,0,,,,,0,1,9.22,2.488,7,1,0,13.2,19,2,15,9
128,Oscar Henriquez,2000-12-23,New York Mets,NYM,27,-0.8,2,19,1,0,0,0,0,0,0,.000,.000,.000,.000,0,1,7.88,1.792,19,0,0,24.0,28,4,15,22
129,Bret Boone,2000-12-22,Seattle Mariners,SDP,32,1.9,9,1072,3911,503,996,125,536,47,307,.255,.312,.413,.725,,,,,,,,,,,,
130,Jeffrey Hammonds,2000-12-22,Milwaukee Brewers,COL,30,5.7,8,681,2151,369,607,88,341,56,193,.282,.343,.470,.813,,,,,,,,,,,,
131,Tom Lampkin,2000-12-22,Seattle Mariners,SEA,37,2.5,11,594,1311,164,315,41,177,18,137,.240,.322,.389,.711,,,,,,,,,,,,
132,Peter Munro,2000-12-22,Texas Rangers,TEX,26,-0.4,2,40,1,0,0,0,0,0,0,.000,.000,.000,.000,1,3,6.00,1.815,40,5,0,81.0,108,7,39,54
133,Brian Shouse,2000-12-22,Houston Astros,BAL,32,-0.1,2,13,0,0,0,0,0,0,0,,,,,0,1,6.75,1.833,13,0,0,12.0,16,3,6,8
134,Kevin Witt,2000-12-22,San Diego Padres,TOR,25,-0.3,2,20,41,3,8,1,5,0,2,.195,.233,.293,.525,,,,,,,,,,,,
135,Raul Gonzalez,2000-12-21,Cincinnati Reds,CHC,27,-0.1,1,3,2,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,
136,Brian Johnson,2000-12-21,Los Angeles Dodgers,NYY,33,-0.2,7,468,1411,132,350,49,195,1,80,.248,.291,.403,.694,,,,,,,,,,,,
137,Curtis Pride,2000-12-21,Montreal Expos,LAD,32,0.4,6,313,630,110,162,17,67,25,70,.257,.334,.421,.755,,,,,,,,,,,,
138,Bob Scanlan,2000-12-21,Montreal Expos,MIL,34,-0.1,8,272,30,1,2,0,3,0,1,.067,.094,.067,.160,20,34,4.46,1.452,272,39,17,510.1,546,41,195,240
139,David Segui,2000-12-21,Baltimore Orioles,CLE,34,6.6,11,1263,4177,591,1220,121,590,15,433,.292,.357,.445,.802,,,,,,,,,,,,
140,Aaron Small,2000-12-21,Anaheim Angels,COL,29,-0.6,5,138,1,0,0,0,0,0,0,.000,.000,.000,.000,15,10,5.23,1.654,138,3,4,201.1,241,19,92,112
141,Scott Aldred,2000-12-20,Cleveland Indians,PHI,33,1.1,9,229,1,0,0,0,0,0,0,.000,.000,.000,.000,20,39,6.02,1.623,229,67,1,499.2,581,78,230,312
142,Rigo Beltran,2000-12-20,Philadelphia Phillies,COL,31,0.1,4,76,11,1,2,0,0,0,0,.182,.182,.273,.455,2,3,4.34,1.438,76,5,1,105.2,109,13,43,106
143,Mike Bordick,2000-12-20,Baltimore Orioles,NYM,35,10.7,11,1443,4831,568,1264,71,506,77,415,.262,.324,.359,.683,,,,,,,,,,,,
144,John Burkett,2000-12-20,Atlanta Braves,ATL,36,2.2,12,351,471,20,44,0,17,0,23,.093,.137,.106,.244,129,107,4.35,1.355,350,330,1,2074.1,2278,195,533,1348
145,Marty Cordova,2000-12-20,Cleveland Indians,TOR,31,-1.4,6,690,2522,359,692,83,403,55,251,.274,.346,.442,.788,,,,,,,,,,,,
146,Eric Gunderson,2000-12-20,Cleveland Indians,SFG,35,-0.2,10,254,6,1,0,0,0,0,0,.000,.143,.000,.143,8,11,4.95,1.563,254,5,2,229.0,274,29,84,137
147,Dave Hollins,2000-12-20,Cleveland Indians,CLE,35,-0.8,10,967,3324,577,867,112,482,47,463,.261,.359,.422,.781,,,,,,,,,,,,
148,Tim Laker,2000-12-20,Cleveland Indians,PIT,31,0.1,6,165,325,31,73,4,34,3,22,.225,.275,.317,.592,,,,,,,,,,,,
149,Brian Lesher,2000-12-20,Milwaukee Brewers,SEA,30,0.3,4,84,225,29,54,9,36,5,15,.240,.287,.418,.705,,,,,,,,,,,,
150,Clint Sodowsky,2000-12-20,Philadelphia Phillies,TEX,28,-1.7,5,,,,,,,,,,,,,,,,,,,,,,,,
151,Rob Stanifer,2000-12-20,Chicago Cubs,BOS,29,-1.4,3,82,8,1,2,0,1,0,0,.250,.333,.375,.708,3,6,5.43,1.519,82,0,2,106.0,119,17,42,61
152,Ed Vosberg,2000-12-20,Philadelphia Phillies,PHI,39,-0.3,8,244,2,0,0,0,0,0,0,.000,.000,.000,.000,10,15,4.34,1.566,244,3,13,219.2,239,21,105,168
153,Pat Hentgen,2000-12-19,Baltimore Orioles,STL,32,4.7,10,285,78,4,9,0,0,0,4,.115,.159,.115,.274,120,88,4.21,1.391,285,255,0,1750.0,1789,215,646,1113
154,Todd Hundley,2000-12-19,Chicago Cubs,LAD,32,1.0,11,1033,3224,438,775,172,522,14,388,.240,.325,.451,.775,,,,,,,,,,,,
155,Izzy Molina,2000-12-19,Toronto Blue Jays,KCR,30,0.1,3,68,138,7,28,3,8,0,4,.203,.225,.319,.544,,,,,,,,,,,,
156,Tom Prince,2000-12-19,Minnesota Twins,PHI,36,0.1,14,372,821,75,167,11,95,4,74,.203,.280,.313,.593,,,,,,,,,,,,
157,Manny Ramirez,2000-12-19,Boston Red Sox,CLE,29,17.3,8,967,3470,665,1086,236,804,28,541,.313,.407,.592,.998,,,,,,,,,,,,
158,Sandy Alomar,2000-12-18,Chicago White Sox,CLE,35,0.8,13,993,3429,417,948,93,459,24,168,.276,.315,.419,.734,,,,,,,,,,,,
159,Jason Bere,2000-12-18,Chicago Cubs,CLE,30,-0.7,8,161,75,6,15,0,3,0,3,.200,.241,.227,.467,59,44,5.28,1.613,161,153,0,830.2,821,108,519,679
